iter	MultiClass
0	2.222610737
1	2.1257085
2	2.076756095
3	2.037560836
4	2.00429072
5	1.979297031
6	1.962145901
7	1.947258666
8	1.936878432
99	1.925360828110	1.918922381111	1.909820791212	1.902614921313	1.895461461414	1.886082215	15	1.878010716	16	1.873363117	17	1.869073918	18	1.859978819	1.844272868
20	1.837180666
21	1.831366316
22	22	1.831465623	23	1.8253992424	1.818359182525	1.812736472626	1.807914522727	1.802682562828	1.798454629	29	1.790479291
30	1.785791829
31	1.779969546
32	1.774959193
33	1.768826374
34	1.767777875
35	1.761407975
36	1.755885533
37	1.751695684
38	1.746647984
39	1.740434015
40	1.734575902
41	1.729347547
42	1.72384429
43	1.720121034
44	1.717242837
45	1.712514131
46	1.710269409
47	1.706284253
48	1.702466296
49	1.699366414
50	1.696809195
51	1.69133987
52	1.686075569
53	1.680195922
54	1.676022287
55	1.673703767
56	1.668974187
57	1.666030537
58	1.660161449
59	1.656950133
60	1.6541961	1.61	1.6515162	1.62	1.648850259
63	1.6463664	1.64	1.642366148
65	1.639266	1.66	1.636568595
67	1.633209237
68	1.628565245
69	1.624204317
70	1.621108469
71	1.61836973
72	1.614557525
73	1.610853512
74	1.609091056
75	1.605719019
76	1.603017752
77	1.599392274
78	1.594673837
79	1.59280	1.5880	1.5881	1.58681	1.5882	1.58282	1.583	1.578983	1.584	1.575984	1.585	1.573585	1.586	1.570686	1.569332522
87	188	1.56416588	189	1.56062589	190	1.55749190	191	1.555132434
92	1.552569378
93	1.54847093	194	1.544425835
95	1.542130092
96	1.539834278
97	1.536285032
98	1.533069509
99	1.530124979
.522821068
