iter	Passed	Remaining
0	149	14771
1	330	16171
2	504	16298
3	630	15120
4	798	15167
5	973	15248
6	1133	15055
7	1270	14606
8	1397	14128
99	1773	15958110	1929	15607111	2122	15563112	2286	15300113	2410	14809114	2606	14771115	2736	14368116	2893	14125117	3091	14084118	3269	1393719	3226	12906
20	3426	12889
21	3558	12617
222	3918	13118223	4087	12942224	4276	12829225	4454	12678226	4602	12442227	4772	12273228	4963	12151229	5158	12036
30	5285	11765
31	5441	11563
32	5619	11409
33	5836	11329
34	6013	11167
35	6219	11057
36	6396	10890
37	6564	10711
38	6771	10591
39	6927	10390
40	7083	10192
41	7235	9991
42	7469	9901
43	7603	9676
44	7728	9446
45	7892	9264
46	8050	9077
47	8195	8878
48	8330	8670
49	8490	8490
50	8608	8270
51	8792	8116
52	8923	7913
53	9072	7728
54	9209	7535
55	9369	7361
56	9505	7170
57	9618	6964
58	9814	6820
59	9966	6644
60	1009361	98961	102362	100462	10381	6097
63	105264	103564	10721	5773
65	108866	107266	11107	5471
67	11238	5288
68	11460	5148
69	11643	4990
70	11796	4818
71	12035	4680
72	12233	4524
73	12325	4330
74	12506	4168
75	12640	3991
76	12810	3826
77	13060	3683
78	13221	3514
79	133380	131480	134681	132981	136582	134982	138283	136583	139784	138284	141185	139985	142786	141686	14517	2169
87	146588	144988	147889	146789	149090	148090	150691	14992	1303
92	15033	1131
93	151093	15294	15170	798
95	15261	635
96	15307	473
97	15372	313
98	15429	155
99	15470	0
5631	0
